id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1593,/trajectory_follow/ackermann_cmd,2017-04-26 22:45:00,2017-04-26 22:46:00,0.039367400000000004,2017-04-26,22:45:00,2017-04-26,22:46:00
1594,/dbw_joy/ackermann_cmd,2017-04-26 22:46:00,2017-04-26 22:46:00,0.00710658,2017-04-26,22:46:00,2017-04-26,22:46:00
1595,/trajectory_follow/ackermann_cmd,2017-04-26 21:52:00,2017-04-26 21:54:00,0.07418179999999999,2017-04-26,21:52:00,2017-04-26,21:54:00
1596,/trajectory_follow/ackermann_cmd,2017-04-26 21:54:00,2017-04-26 21:55:00,0.047037800000000005,2017-04-26,21:54:00,2017-04-26,21:55:00
1597,/dbw_joy/ackermann_cmd,2017-04-26 21:55:00,2017-04-26 21:55:00,0.010156,2017-04-26,21:55:00,2017-04-26,21:55:00
1598,/trajectory_follow/ackermann_cmd,2017-04-26 21:55:00,2017-04-26 22:18:00,0.301385,2017-04-26,21:55:00,2017-04-26,22:18:00
1599,/trajectory_follow/ackermann_cmd,2017-04-26 22:18:00,2017-04-26 22:21:00,0.181503,2017-04-26,22:18:00,2017-04-26,22:21:00
1600,/dbw_joy/ackermann_cmd,2017-04-26 22:21:00,2017-04-26 22:22:00,0.0104248,2017-04-26,22:21:00,2017-04-26,22:22:00
1601,/trajectory_follow/ackermann_cmd,2017-04-26 22:22:00,2017-04-26 22:23:00,0.054637,2017-04-26,22:22:00,2017-04-26,22:23:00
1602,/dbw_joy/ackermann_cmd,2017-04-26 22:23:00,2017-04-26 22:23:00,0.023441999999999998,2017-04-26,22:23:00,2017-04-26,22:23:00
1603,/trajectory_follow/ackermann_cmd,2017-04-26 22:23:00,2017-04-26 22:24:00,0.0115715,2017-04-26,22:23:00,2017-04-26,22:24:00
1604,/dbw_joy/ackermann_cmd,2017-04-26 22:24:00,2017-04-26 22:24:00,0.0123434,2017-04-26,22:24:00,2017-04-26,22:24:00
1605,/trajectory_follow/ackermann_cmd,2017-04-26 22:24:00,2017-04-26 22:25:00,0.0388804,2017-04-26,22:24:00,2017-04-26,22:25:00
1606,/trajectory_follow/ackermann_cmd,2017-04-26 22:25:00,2017-04-26 22:26:00,0.11849900000000001,2017-04-26,22:25:00,2017-04-26,22:26:00
1607,/trajectory_follow/ackermann_cmd,2017-04-26 22:26:00,2017-04-26 22:26:00,0.00035012,2017-04-26,22:26:00,2017-04-26,22:26:00
1608,/trajectory_follow/ackermann_cmd,2017-04-26 22:26:00,2017-04-26 22:30:00,0.242923,2017-04-26,22:26:00,2017-04-26,22:30:00
1609,/dbw_joy/ackermann_cmd,2017-04-26 22:30:00,2017-04-26 22:31:00,0.017897299999999998,2017-04-26,22:30:00,2017-04-26,22:31:00
1610,/trajectory_follow/ackermann_cmd,2017-04-26 22:31:00,2017-04-26 22:32:00,0.0420388,2017-04-26,22:31:00,2017-04-26,22:32:00
1611,/trajectory_follow/ackermann_cmd,2017-04-26 22:32:00,2017-04-26 22:34:00,0.109644,2017-04-26,22:32:00,2017-04-26,22:34:00
